accx,accy,accz,gyrox,gyroy,gyroz,light,magx,magy,magz,orientx,orienty,orientz,proximity,atmosphere,sound,loclat,loclon,localt,locspeed,locacc,temp,level,voltage,time
3.5127, 3.6738, -8.5703, -0.0309, -0.0203, -0.0149, 6.1721, 14.8, -6.0, 38.2, 78.48, -21.99, -158.72, 0.0, 1010.02, 42.129, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 6613, 
3.4816, 3.5084, -8.429, -0.0309, -0.0181, -0.0053, 5.7529, 14.8, -6.0, 38.2, 78.48, -21.99, -158.72, 0.0, 1010.02, 42.129, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 6663, 
3.4816, 3.5084, -8.429, -0.0309, -0.0181, -0.0053, 5.7529, 14.8, -6.0, 38.2, 78.48, -21.99, -158.72, 0.0, 1010.02, 42.129, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 6714, 
3.0445, 3.6657, -8.9399, 0.145, 0.2206, 0.4093, 5.7529, 15.1, -6.5, 38.3, 78.99, -21.75, -158.26, 0.0, 1010.02, 42.129, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 6803, 
3.0445, 3.6657, -8.9399, 0.145, 0.2206, 0.4093, 5.7529, 15.1, -6.5, 38.3, 78.99, -21.75, -158.26, 0.0, 1010.02, 42.129, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 6854, 
3.8623, 3.826, -9.7579, 0.2622, 2.3001, 0.8324, 5.7529, 15.1, -6.5, 38.3, 78.99, -21.75, -158.26, 0.0, 1010.02, 52.249, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 6926, 
3.8623, 3.826, -9.7579, 0.2622, 2.3001, 0.8324, 5.7529, -3.2, -6.4, 42.0, 78.99, -21.75, -158.26, 0.0, 1010.02, 52.249, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 6985, 
7.6028, 1.9741, -6.5329, -0.664, 6.5624, 2.6412, 5.7529, -3.2, -6.4, 42.0, 78.99, -21.75, -158.26, 0.0, 1010.02, 52.249, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 7062, 
7.6028, 1.9741, -6.5329, -0.664, 6.5624, 2.6412, 5.7529, -3.2, -6.4, 42.0, 78.99, -21.75, -158.26, 5.0, 1010.02, 52.249, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 7112, 
7.6028, 1.9741, -6.5329, -0.664, 6.5624, 2.6412, 5.7529, -3.2, -6.4, 42.0, 78.99, -21.75, -158.26, 5.0, 1010.02, 52.249, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 7162, 
6.3341, -0.6809, 4.0124, 0.1865, 6.8065, 0.2451, 5.7529, -36.6, -0.5, 4.5, 92.43, 0.64, -82.9, 5.0, 1010.02, 52.249, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 7245, 
6.3341, -0.6809, 4.0124, 0.1865, 6.8065, 0.2451, 12.9176, -36.6, -0.5, 4.5, 92.43, 0.64, -82.9, 5.0, 1010.0, 40.916, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 7304, 
3.9504, -0.0558, 8.0803, 1.425, 1.5561, -0.1567, 12.9176, -36.6, -0.5, 4.5, 92.43, 0.64, -82.9, 5.0, 1010.0, 40.916, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 7354, 
3.9504, -0.0558, 8.0803, 1.425, 1.5561, -0.1567, 12.9176, -32.1, -4.9, -11.2, 92.43, 0.64, -82.9, 5.0, 1010.0, 40.916, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 7410, 
3.2586, 0.952, 10.0749, 0.2078, 0.9124, -0.2089, 12.9176, -32.1, -4.9, -11.2, 92.43, 0.64, -82.9, 5.0, 1010.0, 40.916, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 7488, 
3.2586, 0.952, 10.0749, 0.2078, 0.9124, -0.2089, 20.8893, -32.1, -4.9, -11.2, 92.43, 0.64, -82.9, 5.0, 1010.0, 40.916, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 7538, 
3.2586, 0.952, 10.0749, 0.2078, 0.9124, -0.2089, 20.8893, -32.1, -4.9, -11.2, 92.43, 0.64, -82.9, 5.0, 1010.0, 37.928, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 7588, 
2.5404, 2.2658, 9.1822, 0.3858, 0.8122, 0.0629, 20.8893, -28.6, -7.7, -15.5, 98.46, -11.11, -15.86, 5.0, 1010.0, 37.928, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 7655, 
2.5404, 2.2658, 9.1822, 0.3858, 0.8122, 0.0629, 21.1356, -28.6, -7.7, -15.5, 98.46, -11.11, -15.86, 5.0, 1010.0, 37.928, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 7712, 
1.4839, 2.3598, 8.7384, 0.0586, 0.1311, 0.2867, 21.1356, -27.5, -8.0, -18.4, 98.46, -11.11, -15.86, 5.0, 1010.0, 37.928, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 7795, 
1.4839, 2.3598, 8.7384, 0.0586, 0.1311, 0.2867, 21.1356, -27.5, -8.0, -18.4, 98.46, -11.11, -15.86, 5.0, 1010.0, 37.928, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 7846, 
1.4963, 2.5315, 8.7508, -0.2707, 0.0735, -0.064, 21.1356, -27.5, -8.0, -18.4, 98.46, -11.11, -15.86, 5.0, 1010.0, 37.928, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 7917, 
1.4963, 2.5315, 8.7508, -0.2707, 0.0735, -0.064, 21.1356, -27.3, -7.6, -18.3, 98.35, -11.11, -15.86, 5.0, 1010.0, 32.936, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 7974, 
1.3463, 2.7076, 9.6744, 0.0448, 0.2036, -0.0107, 21.1356, -27.3, -7.6, -18.3, 98.35, -11.11, -15.86, 5.0, 1010.0, 32.936, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 8029, 
